排名,电影标题,评分,评价人数,上映年份,精华短评,数据来源,采集时间,评价人数等级,评分等级,热度指数
1,肖申克的救赎,9.7,3228540,1994,希望让人自由。,豆瓣TOP250,2025-11-12 01:46:03,现象级,神作,7.76
2,霸王别姬,9.6,2383014,1993,风华绝代。,豆瓣TOP250,2025-11-12 01:46:03,现象级,神作,7.43
3,泰坦尼克号,9.5,2452261,1997,失去的才是永恒的。 ,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.39
4,阿甘正传,9.5,2392992,1994,一部美国近现代史。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.37
5,千与千寻,9.4,2492838,2001,最好的宫崎骏，最好的久石让。 ,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.33
6,美丽人生,9.5,1458821,1997,最美的谎言。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.09
7,星际穿越,9.4,2132396,2014,爱是一种力量，让我们超越时空感知它的存在。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.22
8,这个杀手不太冷,9.4,2517326,1994,怪蜀黍和小萝莉不得不说的故事。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.34
9,盗梦空间,9.4,2287844,2010,诺兰给了我们一场无法盗取的梦。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.27
10,楚门的世界,9.4,1976251,1998,如果再也不能见到你，祝你早安，午安，晚安。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.17
11,辛德勒的名单,9.5,1229591,1993,拯救一个人，就是拯救整个世界。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.02
12,忠犬八公的故事,9.4,1521661,2009,永远都不能忘记你所爱的人。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.04
13,海上钢琴师,9.3,1851975,1998,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.07
14,疯狂动物城,9.3,2224544,2016,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.18
15,三傻大闹宝莱坞,9.2,2045995,2009,英俊版憨豆，高情商版谢耳朵。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,7.05
16,机器人总动员,9.3,1462867,2008,小瓦力，大人生。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.95
17,放牛班的春天,9.3,1450557,2004,天籁一般的童声，是最接近上帝的存在。 ,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.95
18,无间道,9.3,1536422,2002,香港电影史上永不过时的杰作。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.97
19,控方证人,9.6,690142,1957,比利·怀德满分作品。,豆瓣TOP250,2025-11-12 01:46:03,很火,神作,6.93
20,大话西游之大圣娶亲,9.2,1684690,1995,一生所爱。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.95
21,熔炉,9.3,1022260,2011,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.82
22,寻梦环游记,9.1,1937806,2017,死亡不是真的逝去，遗忘才是永恒的消亡。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.95
23,触不可及,9.3,1271383,2011,满满温情的高雅喜剧。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.89
24,教父,9.3,1085978,1972,千万不要记恨你的对手，这样会让你失去理智。,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.84
25,当幸福来敲门,9.1,1663412,2006,平民励志片。 ,豆瓣TOP250,2025-11-12 01:46:03,现象级,经典,6.87
